index,variable,value
AoLen,roi,True
CL,ch1_int_whole,"{'looped_length': 278.5729836723767, 'lin_length': 196.40371704101562}"
CL,ch2_ext_whole,"{'looped_length': 283.3270263262093, 'lin_length': 190.81484985351562}"
Ellip(segm),Cut1_ch2_tiss_segm1,True
Ellip(segm),Cut1_ch1_ext_segm2,True
Ellip(segm),Cut1_ch1_ext_segm1,True
Ellip(segm),Cut1_ch1_tiss_segm2,True
Ellip(segm),Cut1_ch1_tiss_segm1,True
Ellip(segm),Cut1_chNS_tiss_segm2,True
Ellip(segm),Cut1_chNS_tiss_segm1,True
Ellip(segm),Cut1_ch2_tiss_segm2,True
Ellip(segm),Cut1_ch2_int_segm2,True
Ellip(segm),Cut1_ch2_int_segm1,True
LoopDir,roi,True
TgBright,roi,True
Vol,ch1_int_whole,True
Vol,ch1_ext_whole,True
Vol,ch2_int_whole,True
Vol,ch2_tiss_whole,True
Vol,ch2_ext_whole,True
Vol,chNS_int_whole,True
Vol,ch1_tiss_whole,True
Vol,chNS_tiss_whole,True
Vol,chNS_ext_whole,True
Vol(sect),Cut2_ch2_tiss_sect2,True
Vol(sect),Cut1_ch2_tiss_sect1,True
Vol(sect),Cut1_ch1_tiss_sect2,232157.19616130897
Vol(sect),Cut1_ch1_tiss_sect1,244132.6523907116
Vol(sect),Cut1_chNS_tiss_sect2,True
Vol(sect),Cut1_chNS_tiss_sect1,True
Vol(sect),Cut2_chNS_tiss_sect2,True
Vol(sect),Cut1_ch2_tiss_sect2,True
Vol(sect),Cut2_chNS_tiss_sect1,True
Vol(sect),Cut2_ch2_tiss_sect1,True
Vol(sect),Cut2_ch1_tiss_sect2,244163.6629483923
Vol(sect),Cut2_ch1_tiss_sect1,232110.88629832206
Vol(segm),Cut1_ch1_ext_segm1,1132707.885333426
Vol(segm),Cut1_ch2_int_segm1,True
Vol(segm),Cut1_ch1_ext_segm2,666060.1459218762
Vol(segm),Cut1_ch1_tiss_segm1,239646.87518697616
Vol(segm),Cut1_chNS_tiss_segm2,65547.06146452879
Vol(segm),Cut1_chNS_tiss_segm1,171587.41563409223
Vol(segm),Cut1_ch1_tiss_segm2,233777.4398440119
Vol(segm),Cut1_ch2_tiss_segm2,True
Vol(segm),Cut1_ch2_tiss_segm1,True
Vol(segm),Cut1_ch2_int_segm2,True
ball,ch1_int_(ch2_ext),True
ball,ch1_int_(ch1_int),True
th_e2i,ch1_tiss_whole,True
th_i2e,chNS_tiss_whole,True
th_i2e,ch1_tiss_whole,True
th_i2e,ch2_tiss_whole,True
